File path; File name; Scanner type; Date and time; Duration; Scan mode; Type; Frequency; Code; Favorite name; System name; Department name; Channel name; Site; TGID; UID; UID Name; Latitude; Longitude
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-34-09.wav;2020-06-21_16-34-09.wav;BCDx36HP;6/21/2020 4:34:10 PM;00:00:01;Normal scan mode;P25Standard;853.0375;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-02-03.wav;2020-06-21_18-02-03.wav;BCDx36HP;6/21/2020 6:02:04 PM;00:00:01;Normal scan mode;P25Standard;857.7375;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_22-41-20.wav;2020-06-20_22-41-20.wav;BCDx36HP;6/20/2020 10:41:21 PM;00:00:01;Normal scan mode;Edacs;853.3625;;Transit;Bay Area Rapid Transit (BART);Police;Police Dispatch;Simulcast;00-022;16115;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-13-06.wav;2020-06-21_17-13-06.wav;BCDx36HP;6/21/2020 5:13:09 PM;00:00:03;Normal scan mode;P25Standard;851.9875;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2468240;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-48-16.wav;2020-06-21_17-48-16.wav;BCDx36HP;6/21/2020 5:48:18 PM;00:00:01;Normal scan mode;P25Standard;851.0625;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-49-09.wav;2020-06-21_16-49-09.wav;BCDx36HP;6/21/2020 4:49:16 PM;00:00:07;Normal scan mode;P25Standard;857.7375;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-13-52.wav;2020-06-21_18-13-52.wav;BCDx36HP;6/21/2020 6:13:52 PM;00:00:00;Normal scan mode;P25Standard;852.8000;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-22-43.wav;2020-06-20_23-22-43.wav;BCDx36HP;6/20/2020 11:22:45 PM;00:00:01;Normal scan mode;Edacs;851.8875;;Transit;Bay Area Rapid Transit (BART);Train Operations;W Line (Daly City-Millbrae);Simulcast;02-022;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-12-04.wav;2020-06-22_23-12-04.wav;BCDx36HP;6/22/2020 11:12:05 PM;00:00:00;Normal scan mode;Edacs;851.0375;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;15292;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-18-33.wav;2020-06-21_17-18-33.wav;BCDx36HP;6/21/2020 5:18:36 PM;00:00:02;Normal scan mode;P25Standard;852.1125;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2466414;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-27-16.wav;2020-06-21_17-27-16.wav;BCDx36HP;6/21/2020 5:27:18 PM;00:00:01;Normal scan mode;P25Standard;852.1125;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-17-36.wav;2020-06-21_18-17-36.wav;BCDx36HP;6/21/2020 6:17:42 PM;00:00:06;Normal scan mode;P25Standard;851.0625;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_18-52-12.wav;2020-06-22_18-52-12.wav;BCDx36HP;6/22/2020 6:52:12 PM;00:00:00;Normal scan mode;P25Standard;770.8437;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);Oakland;Police Patrol 3;ALCO Northwest Simulcast;3407;;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-38-02.wav;2020-06-21_18-38-02.wav;BCDx36HP;6/21/2020 6:38:08 PM;00:00:05;Normal scan mode;P25Standard;852.1125;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-23-30.wav;2020-06-22_23-23-30.wav;BCDx36HP;6/22/2020 11:23:34 PM;00:00:03;Normal scan mode;Edacs;851.3125;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-23-18.wav;2020-06-22_23-23-18.wav;BCDx36HP;6/22/2020 11:23:29 PM;00:00:11;Normal scan mode;Edacs;852.2375;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;7889;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-24-05.wav;2020-06-22_23-24-05.wav;BCDx36HP;6/22/2020 11:24:07 PM;00:00:02;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;16105;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-55-24.wav;2020-06-21_16-55-24.wav;BCDx36HP;6/21/2020 4:55:25 PM;00:00:01;Normal scan mode;P25Standard;852.6375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468258;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_18-52-07.wav;2020-06-22_18-52-07.wav;BCDx36HP;6/22/2020 6:52:09 PM;00:00:02;Normal scan mode;P25Standard;770.2937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);Oakland;Police Patrol 3;ALCO Northwest Simulcast;3407;3204210;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_22-53-21.wav;2020-06-20_22-53-21.wav;BCDx36HP;6/20/2020 10:53:26 PM;00:00:05;Normal scan mode;Edacs;853.3625;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;16104;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-56-48.wav;2020-06-21_16-56-48.wav;BCDx36HP;6/21/2020 4:56:50 PM;00:00:01;Normal scan mode;P25Standard;857.7375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2466315;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-10-27.wav;2020-06-20_23-10-27.wav;BCDx36HP;6/20/2020 11:10:30 PM;00:00:02;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;16105;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-42-01.wav;2020-06-21_16-42-01.wav;BCDx36HP;6/21/2020 4:42:08 PM;00:00:06;Normal scan mode;P25Standard;851.3875;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;106;;;
